Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.09375122937984783,0.00010207198895838685,0.0,0.05033499471420621,0.005609179610050974,0.8939436060448505,0.9454950132359001,569,36,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_TYPE,0.0005447377651726127,6.827927001663224e-06,0.0,0.05033499471420621,0.005609179610050974,0.8939436060448505,0.9454950132359001,569,36,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_ANIM,0.0,0.0,1.0,0.05033499471420621,0.005609179610050974,0.8939436060448505,0.9454950132359001,569,36,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_GEN,8.011857699367988e-05,2.609779826288413e-06,2.902132726853811e-207,0.05033499471420621,0.005609179610050974,0.8939436060448505,0.9454950132359001,569,36,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_NUM,7.30216935796887e-05,2.439195155065562e-06,3.267989139043505e-197,0.05033499471420621,0.005609179610050974,0.8939436060448505,0.9454950132359001,569,36,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_PERS,4.0940533931476185e-05,2.0929289054007144e-06,1.6507940138997388e-85,0.05033499471420621,0.005609179610050974,0.8939436060448505,0.9454950132359001,569,36,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.05033499471420621,0.005609179610050974,0.8939436060448505,0.9454950132359001,569,36,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
sentence_TENSE,1.8637918839336005e-05,1.2586183078655628e-06,6.479698368529599e-50,0.05033499471420621,0.005609179610050974,0.8939436060448505,0.9454950132359001,569,36,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
verb_ZIPF,-9.580694435070218e-09,6.871757236002344e-08,0.5554413858060578,0.05033499471420621,0.005609179610050974,0.8939436060448505,0.9454950132359001,569,36,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
