Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.08017751425438896,0.00010695794298689353,0.0,0.07083521818440744,0.008264294182809728,0.8356702436488398,0.9141512678322957,584,299,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_TYPE,0.002584506734910974,1.8056051039348876e-05,0.0,0.07083521818440744,0.008264294182809728,0.8356702436488398,0.9141512678322957,584,299,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_ANIM,0.0,0.0,1.0,0.07083521818440744,0.008264294182809728,0.8356702436488398,0.9141512678322957,584,299,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_GEN,8.297643860069638e-05,3.21350436220965e-06,2.565111429892169e-147,0.07083521818440744,0.008264294182809728,0.8356702436488398,0.9141512678322957,584,299,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_NUM,0.0003832785130972643,6.8477864578757645e-06,0.0,0.07083521818440744,0.008264294182809728,0.8356702436488398,0.9141512678322957,584,299,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_PERS,0.0009069314190437556,1.2933610743571996e-05,0.0,0.07083521818440744,0.008264294182809728,0.8356702436488398,0.9141512678322957,584,299,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.07083521818440744,0.008264294182809728,0.8356702436488398,0.9141512678322957,584,299,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
sentence_TENSE,0.00030414209346399547,6.146649355164713e-06,0.0,0.07083521818440744,0.008264294182809728,0.8356702436488398,0.9141512678322957,584,299,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
verb_ZIPF,7.612410628653116e-05,3.1431429395013483e-06,6.999093687836468e-130,0.07083521818440744,0.008264294182809728,0.8356702436488398,0.9141512678322957,584,299,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
