Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.06580071336707209,0.00010651223047365252,0.0,0.0818771381969574,0.010751189057798063,0.7710176600292518,0.8780788297341778,237,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_TYPE,0.004048029250059469,2.5801778602981685e-05,0.0,0.0818771381969574,0.010751189057798063,0.7710176600292518,0.8780788297341778,237,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_ANIM,0.0,0.0,1.0,0.0818771381969574,0.010751189057798063,0.7710176600292518,0.8780788297341778,237,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_GEN,8.467802729688177e-05,3.6654646365543936e-06,2.2318251138908472e-118,0.0818771381969574,0.010751189057798063,0.7710176600292518,0.8780788297341778,237,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_NUM,0.000451335957471418,8.439944636062718e-06,0.0,0.0818771381969574,0.010751189057798063,0.7710176600292518,0.8780788297341778,237,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_PERS,0.0013853218858608882,1.8825779241244177e-05,0.0,0.0818771381969574,0.010751189057798063,0.7710176600292518,0.8780788297341778,237,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
subj_ZIPF,8.856437315712862e-07,3.5449380096875165e-07,0.0062389375037160385,0.0818771381969574,0.010751189057798063,0.7710176600292518,0.8780788297341778,237,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
sentence_TENSE,0.0006447018678999726,1.0223897903709288e-05,0.0,0.0818771381969574,0.010751189057798063,0.7710176600292518,0.8780788297341778,237,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
verb_ZIPF,0.0001841610441405953,5.662174491820612e-06,2.3793562862759962e-232,0.0818771381969574,0.010751189057798063,0.7710176600292518,0.8780788297341778,237,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,9,True,False,Multivariate
