Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.052711278963112715,8.242354073636627e-05,0.0,0.05573904124397992,0.007060139073644373,0.7900528302770621,0.8888632807816537,494,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,6,True,False,Multivariate
subj_TYPE,0.00023774182384852515,5.049554444561037e-06,0.0,0.05573904124397992,0.007060139073644373,0.7900528302770621,0.8888632807816537,494,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,6,True,False,Multivariate
subj_ANIM,1.846474211173455e-05,1.3565816903045657e-06,1.7171322708547896e-42,0.05573904124397992,0.007060139073644373,0.7900528302770621,0.8888632807816537,494,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,6,True,False,Multivariate
subj_GEN,8.345346368591481e-06,9.471828524023469e-07,6.218198159360442e-19,0.05573904124397992,0.007060139073644373,0.7900528302770621,0.8888632807816537,494,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,6,True,False,Multivariate
subj_NUM,6.2496116766086735e-06,7.978696719989758e-07,2.384232822028368e-15,0.05573904124397992,0.007060139073644373,0.7900528302770621,0.8888632807816537,494,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,6,True,False,Multivariate
subj_PERS,1.1631292627891446e-05,1.0600692677827813e-06,2.599569680055842e-28,0.05573904124397992,0.007060139073644373,0.7900528302770621,0.8888632807816537,494,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,6,True,False,Multivariate
subj_ZIPF,1.3474057745914944e-05,1.0930502191895316e-06,3.239739432601114e-35,0.05573904124397992,0.007060139073644373,0.7900528302770621,0.8888632807816537,494,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,6,True,False,Multivariate
sentence_TENSE,4.849839486854581e-06,7.271267755687473e-07,1.280169517865312e-11,0.05573904124397992,0.007060139073644373,0.7900528302770621,0.8888632807816537,494,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,6,True,False,Multivariate
verb_ZIPF,2.6683894137847444e-06,5.2413379189532e-07,1.780465055377768e-07,0.05573904124397992,0.007060139073644373,0.7900528302770621,0.8888632807816537,494,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,6,True,False,Multivariate
