Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.01974059289384529,4.4017388244406976e-05,0.0,0.058002401934204,0.005951922620507713,0.6673105001804462,0.816909450145965,42,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_TYPE,0.0028834472880549986,1.6303761722398928e-05,0.0,0.058002401934204,0.005951922620507713,0.6673105001804462,0.816909450145965,42,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_ANIM,0.0005530429499028929,7.310750896867839e-06,0.0,0.058002401934204,0.005951922620507713,0.6673105001804462,0.816909450145965,42,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_GEN,7.860583782232433e-05,2.5818820817705877e-06,6.939582862923998e-204,0.058002401934204,0.005951922620507713,0.6673105001804462,0.816909450145965,42,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_NUM,1.8621368839675745e-05,1.2879668630734146e-06,1.1166524102068098e-47,0.058002401934204,0.005951922620507713,0.6673105001804462,0.816909450145965,42,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_PERS,2.551420383695968e-22,1.5598036984044473e-22,0.05094787406699192,0.058002401934204,0.005951922620507713,0.6673105001804462,0.816909450145965,42,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_ZIPF,0.00022950180048654303,3.826064553454712e-06,0.0,0.058002401934204,0.005951922620507713,0.6673105001804462,0.816909450145965,42,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
sentence_TENSE,5.698508107964354e-05,2.2626970916482073e-06,2.9552395527248783e-140,0.058002401934204,0.005951922620507713,0.6673105001804462,0.816909450145965,42,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
verb_ZIPF,0.00019750654343131735,4.1516946067874295e-06,0.0,0.058002401934204,0.005951922620507713,0.6673105001804462,0.816909450145965,42,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
