Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.025749492068744127,4.694761453779306e-05,0.0,0.049279359826408194,0.004894470912177121,0.7541958645016376,0.8684537398624979,629,92,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_TYPE,0.003966418994516884,1.7421375923240058e-05,0.0,0.049279359826408194,0.004894470912177121,0.7541958645016376,0.8684537398624979,629,92,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_ANIM,0.0002741747900838828,4.960357910434337e-06,0.0,0.049279359826408194,0.004894470912177121,0.7541958645016376,0.8684537398624979,629,92,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_GEN,2.5096187879566697e-05,1.2486124150450838e-06,3.744967910656301e-90,0.049279359826408194,0.004894470912177121,0.7541958645016376,0.8684537398624979,629,92,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_NUM,4.397513956444654e-06,5.444370625965486e-07,3.3141933215526255e-16,0.049279359826408194,0.004894470912177121,0.7541958645016376,0.8684537398624979,629,92,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_PERS,1.1182397150417485e-22,1.1485286423413227e-22,0.16512062411402534,0.049279359826408194,0.004894470912177121,0.7541958645016376,0.8684537398624979,629,92,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_ZIPF,2.2842741053965495e-05,1.0619696165231846e-06,6.303994774280552e-103,0.049279359826408194,0.004894470912177121,0.7541958645016376,0.8684537398624979,629,92,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
sentence_TENSE,1.0929074192971633e-05,9.015903431118742e-07,4.038408857367444e-34,0.049279359826408194,0.004894470912177121,0.7541958645016376,0.8684537398624979,629,92,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
verb_ZIPF,2.1028109078550824e-05,1.2363495224797425e-06,3.5684584673819987e-65,0.049279359826408194,0.004894470912177121,0.7541958645016376,0.8684537398624979,629,92,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
