Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.039189633424721045,6.324756553225523e-05,0.0,0.050498522108241364,0.005646159477298195,0.7867960432125656,0.887021766904059,745,28,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_TYPE,0.0020786007929642254,1.337462434949173e-05,0.0,0.050498522108241364,0.005646159477298195,0.7867960432125656,0.887021766904059,745,28,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_ANIM,0.00037376867448490886,6.380076882431409e-06,0.0,0.050498522108241364,0.005646159477298195,0.7867960432125656,0.887021766904059,745,28,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_GEN,1.2192617735671654e-05,9.72329571360986e-07,2.266569466023876e-36,0.050498522108241364,0.005646159477298195,0.7867960432125656,0.887021766904059,745,28,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_NUM,1.939962979791442e-06,4.344354984717042e-07,3.9944739198671106e-06,0.050498522108241364,0.005646159477298195,0.7867960432125656,0.887021766904059,745,28,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_PERS,-1.993297174762475e-25,1.9932971747624748e-25,0.841344746068543,0.050498522108241364,0.005646159477298195,0.7867960432125656,0.887021766904059,745,28,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
subj_ZIPF,2.3236082713947755e-06,3.874129511493589e-07,1.0003153988988831e-09,0.050498522108241364,0.005646159477298195,0.7867960432125656,0.887021766904059,745,28,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
sentence_TENSE,6.061809835453951e-06,7.106743485000469e-07,7.338988058229878e-18,0.050498522108241364,0.005646159477298195,0.7867960432125656,0.887021766904059,745,28,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
verb_ZIPF,3.3118719137961628e-06,5.306152538881234e-07,2.1660112328194618e-10,0.050498522108241364,0.005646159477298195,0.7867960432125656,0.887021766904059,745,28,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,4,True,False,Multivariate
