Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.10707973816137696,0.00011818119021185054,0.0,0.05890485336086139,0.006623146667359806,0.8924719573172165,0.9447076887504399,162,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
subj_TYPE,0.0029669915927272666,1.745958353135742e-05,0.0,0.05890485336086139,0.006623146667359806,0.8924719573172165,0.9447076887504399,162,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
subj_ANIM,1.9188515300033604e-05,1.385621699211722e-06,6.512248490193158e-44,0.05890485336086139,0.006623146667359806,0.8924719573172165,0.9447076887504399,162,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
subj_GEN,1.0990428517842031e-05,1.0271562097552785e-06,5.096558402421309e-27,0.05890485336086139,0.006623146667359806,0.8924719573172165,0.9447076887504399,162,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
subj_NUM,1.392847666033811e-05,1.1851852136740442e-06,3.4421528495103976e-32,0.05890485336086139,0.006623146667359806,0.8924719573172165,0.9447076887504399,162,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
subj_PERS,0.0,0.0,1.0,0.05890485336086139,0.006623146667359806,0.8924719573172165,0.9447076887504399,162,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.05890485336086139,0.006623146667359806,0.8924719573172165,0.9447076887504399,162,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
sentence_TENSE,4.335776306245457e-07,2.049192688357151e-07,0.017178950497171042,0.05890485336086139,0.006623146667359806,0.8924719573172165,0.9447076887504399,162,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
verb_ZIPF,1.1848840462292449e-08,1.0705265609386365e-07,0.45593411793831295,0.05890485336086139,0.006623146667359806,0.8924719573172165,0.9447076887504399,162,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
