Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.10954143258490687,0.0001203838233726333,0.0,0.0636590471072775,0.006834499585931015,0.8952683076090642,0.9461866993024918,545,4,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
subj_TYPE,0.007561762593125955,2.8537983230127956e-05,0.0,0.0636590471072775,0.006834499585931015,0.8952683076090642,0.9461866993024918,545,4,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
subj_ANIM,1.2071493834314187e-05,1.0756695471299174e-06,1.584470896780719e-29,0.0636590471072775,0.006834499585931015,0.8952683076090642,0.9461866993024918,545,4,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
subj_GEN,0.0001037249038578525,3.1969002387863033e-06,3.138425587147052e-231,0.0636590471072775,0.006834499585931015,0.8952683076090642,0.9461866993024918,545,4,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
subj_NUM,5.1719539822141114e-05,2.265093241192394e-06,1.070966973369001e-115,0.0636590471072775,0.006834499585931015,0.8952683076090642,0.9461866993024918,545,4,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
subj_PERS,0.0,0.0,1.0,0.0636590471072775,0.006834499585931015,0.8952683076090642,0.9461866993024918,545,4,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.0636590471072775,0.006834499585931015,0.8952683076090642,0.9461866993024918,545,4,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
sentence_TENSE,6.588997171647934e-07,2.655165762094042e-07,0.006540130031024217,0.0636590471072775,0.006834499585931015,0.8952683076090642,0.9461866993024918,545,4,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
verb_ZIPF,-2.606304030669233e-09,9.16013108167897e-09,0.6119967026734667,0.0636590471072775,0.006834499585931015,0.8952683076090642,0.9461866993024918,545,4,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,2,True,False,Multivariate
