Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.14664816249182308,0.0001458397623134667,0.0,0.06017597653521995,0.007113591808844459,0.9121117331356596,0.9550543811410812,29,57,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
subj_TYPE,0.00011167884037800229,3.474812898668414e-06,6.185768996959768e-227,0.06017597653521995,0.007113591808844459,0.9121117331356596,0.9550543811410812,29,57,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
subj_ANIM,5.0113900859153916e-05,2.169972778201216e-06,2.6442462962339683e-118,0.06017597653521995,0.007113591808844459,0.9121117331356596,0.9550543811410812,29,57,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
subj_GEN,3.224525720008637e-05,1.8794423804961758e-06,2.794499767665548e-66,0.06017597653521995,0.007113591808844459,0.9121117331356596,0.9550543811410812,29,57,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
subj_NUM,0.0001598722892757998,4.083987807393947e-06,0.0,0.06017597653521995,0.007113591808844459,0.9121117331356596,0.9550543811410812,29,57,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
subj_PERS,1.8163577740241729e-06,4.6849092034357555e-07,5.2867612442525114e-05,0.06017597653521995,0.007113591808844459,0.9121117331356596,0.9550543811410812,29,57,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.06017597653521995,0.007113591808844459,0.9121117331356596,0.9550543811410812,29,57,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
sentence_TENSE,5.349639217324373e-05,2.394702599561684e-06,7.641916784321586e-111,0.06017597653521995,0.007113591808844459,0.9121117331356596,0.9550543811410812,29,57,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
verb_ZIPF,5.629582361843669e-06,7.525164448249914e-07,3.68770391840918e-14,0.06017597653521995,0.007113591808844459,0.9121117331356596,0.9550543811410812,29,57,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
