Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.055924675804135016,8.384955616747578e-05,0.0,0.05261177909267987,0.006831493419027425,0.8040429138033786,0.8966909304269546,752,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
subj_TYPE,0.0,0.0,1.0,0.05261177909267987,0.006831493419027425,0.8040429138033786,0.8966909304269546,752,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
subj_ANIM,2.8738336320128764e-05,1.5957855723339722e-06,8.295232012350097e-73,0.05261177909267987,0.006831493419027425,0.8040429138033786,0.8966909304269546,752,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
subj_GEN,7.887482123533001e-07,2.936122536313631e-07,0.003611760694899044,0.05261177909267987,0.006831493419027425,0.8040429138033786,0.8966909304269546,752,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
subj_NUM,0.0,0.0,1.0,0.05261177909267987,0.006831493419027425,0.8040429138033786,0.8966909304269546,752,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
subj_PERS,2.2366740899409456e-05,1.654019804978823e-06,5.747471157539437e-42,0.05261177909267987,0.006831493419027425,0.8040429138033786,0.8966909304269546,752,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.05261177909267987,0.006831493419027425,0.8040429138033786,0.8966909304269546,752,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
sentence_TENSE,3.0470896436321324e-09,5.077151558545581e-08,0.4760715527031126,0.05261177909267987,0.006831493419027425,0.8040429138033786,0.8966909304269546,752,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
verb_ZIPF,2.3103493560107147e-07,1.9584732069145964e-07,0.11906602257641502,0.05261177909267987,0.006831493419027425,0.8040429138033786,0.8966909304269546,752,2,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,7,True,False,Multivariate
