Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.13375318062733157,0.0001197092883295028,0.0,0.04832897661030578,0.004897811346911846,0.9324801222579349,0.965649968173243,263,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
subj_TYPE,0.001630147069621818,1.104662187962585e-05,0.0,0.04832897661030578,0.004897811346911846,0.9324801222579349,0.965649968173243,263,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
subj_ANIM,7.821312879042731e-06,7.744681036091149e-07,2.791906061489514e-24,0.04832897661030578,0.004897811346911846,0.9324801222579349,0.965649968173243,263,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
subj_GEN,1.1656060712617853e-06,3.032728220482006e-07,6.066476883881953e-05,0.04832897661030578,0.004897811346911846,0.9324801222579349,0.965649968173243,263,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
subj_NUM,0.0,0.0,1.0,0.04832897661030578,0.004897811346911846,0.9324801222579349,0.965649968173243,263,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
subj_PERS,0.0,0.0,1.0,0.04832897661030578,0.004897811346911846,0.9324801222579349,0.965649968173243,263,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.04832897661030578,0.004897811346911846,0.9324801222579349,0.965649968173243,263,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
sentence_TENSE,2.2834705924741515e-07,1.4114860921564204e-07,0.052855266973834254,0.04832897661030578,0.004897811346911846,0.9324801222579349,0.965649968173243,263,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
verb_ZIPF,4.3260631214374895e-06,5.60131704354956e-07,5.667962130021723e-15,0.04832897661030578,0.004897811346911846,0.9324801222579349,0.965649968173243,263,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
