Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.11688837457932533,0.00011207464992190615,0.0,0.0428600270195119,0.005042678189912826,0.9206754456382957,0.9595183872802537,85,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
subj_TYPE,0.00020243214880499854,3.973313550122714e-06,0.0,0.0428600270195119,0.005042678189912826,0.9206754456382957,0.9595183872802537,85,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
subj_ANIM,0.0,0.0,1.0,0.0428600270195119,0.005042678189912826,0.9206754456382957,0.9595183872802537,85,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
subj_GEN,3.3763475837224997e-06,5.047506316051204e-07,1.1224303376827962e-11,0.0428600270195119,0.005042678189912826,0.9206754456382957,0.9595183872802537,85,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
subj_NUM,0.0,0.0,1.0,0.0428600270195119,0.005042678189912826,0.9206754456382957,0.9595183872802537,85,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
subj_PERS,0.0,0.0,1.0,0.0428600270195119,0.005042678189912826,0.9206754456382957,0.9595183872802537,85,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.0428600270195119,0.005042678189912826,0.9206754456382957,0.9595183872802537,85,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
sentence_TENSE,4.14561055214662e-07,1.9600372714649178e-07,0.01721210995419526,0.0428600270195119,0.005042678189912826,0.9206754456382957,0.9595183872802537,85,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
verb_ZIPF,3.977624246085354e-06,5.434086131598756e-07,1.2420125782257398e-13,0.0428600270195119,0.005042678189912826,0.9206754456382957,0.9595183872802537,85,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,1,True,False,Multivariate
