Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.08531893365832016,0.00011040253300848884,0.0,0.057031479969847115,0.007516567850878822,0.8502344675796418,0.9220820348450915,550,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_TYPE,3.1289540179511423e-05,1.9073285604534815e-06,8.820401732142612e-61,0.057031479969847115,0.007516567850878822,0.8502344675796418,0.9220820348450915,550,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_ANIM,0.0,0.0,1.0,0.057031479969847115,0.007516567850878822,0.8502344675796418,0.9220820348450915,550,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_GEN,1.075928975714907e-05,1.2008766174894019e-06,1.6303302024980665e-19,0.057031479969847115,0.007516567850878822,0.8502344675796418,0.9220820348450915,550,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_NUM,0.0,0.0,1.0,0.057031479969847115,0.007516567850878822,0.8502344675796418,0.9220820348450915,550,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_PERS,0.0,0.0,1.0,0.057031479969847115,0.007516567850878822,0.8502344675796418,0.9220820348450915,550,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.057031479969847115,0.007516567850878822,0.8502344675796418,0.9220820348450915,550,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
sentence_TENSE,6.752301152767438e-06,9.12073789739305e-07,6.645062382565486e-14,0.057031479969847115,0.007516567850878822,0.8502344675796418,0.9220820348450915,550,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
verb_ZIPF,0.0,0.0,1.0,0.057031479969847115,0.007516567850878822,0.8502344675796418,0.9220820348450915,550,11,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
