Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.08474033470395992,0.00011173820566529991,0.0,0.061161915722987875,0.007864764204233009,0.8438906104789236,0.9186380906111404,99,22,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_TYPE,0.0001539464070186052,4.307960450098862e-06,5.589588736548555e-280,0.061161915722987875,0.007864764204233009,0.8438906104789236,0.9186380906111404,99,22,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_ANIM,0.0,0.0,1.0,0.061161915722987875,0.007864764204233009,0.8438906104789236,0.9186380906111404,99,22,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_GEN,0.00010190301993745649,3.6010341164031585e-06,1.8149788948122497e-176,0.061161915722987875,0.007864764204233009,0.8438906104789236,0.9186380906111404,99,22,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_NUM,1.7587689083813335e-05,1.424050949717419e-06,2.4215835619463597e-35,0.061161915722987875,0.007864764204233009,0.8438906104789236,0.9186380906111404,99,22,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_PERS,0.0,0.0,1.0,0.061161915722987875,0.007864764204233009,0.8438906104789236,0.9186380906111404,99,22,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.061161915722987875,0.007864764204233009,0.8438906104789236,0.9186380906111404,99,22,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
sentence_TENSE,1.2878962948517755e-05,1.266818485433809e-06,1.4005785337809467e-24,0.061161915722987875,0.007864764204233009,0.8438906104789236,0.9186380906111404,99,22,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
verb_ZIPF,1.9322450770636567e-10,4.647053303790034e-09,0.4834167558818878,0.061161915722987875,0.007864764204233009,0.8438906104789236,0.9186380906111404,99,22,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
