Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.08582426204989944,0.00010396050095581722,0.0,0.06305385588889673,0.006794548550143243,0.8639059264101518,0.9294682863969945,535,117,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_TYPE,0.0003512082985783564,6.028134314053974e-06,0.0,0.06305385588889673,0.006794548550143243,0.8639059264101518,0.9294682863969945,535,117,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_ANIM,0.0,0.0,1.0,0.06305385588889673,0.006794548550143243,0.8639059264101518,0.9294682863969945,535,117,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_GEN,3.41293981365233e-05,1.9182284377910346e-06,4.065363752212399e-71,0.06305385588889673,0.006794548550143243,0.8639059264101518,0.9294682863969945,535,117,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_NUM,7.585770442337903e-05,2.7597843255123707e-06,1.2616623323073488e-166,0.06305385588889673,0.006794548550143243,0.8639059264101518,0.9294682863969945,535,117,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_PERS,0.0002197047652219898,4.991997183200817e-06,0.0,0.06305385588889673,0.006794548550143243,0.8639059264101518,0.9294682863969945,535,117,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.06305385588889673,0.006794548550143243,0.8639059264101518,0.9294682863969945,535,117,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
sentence_TENSE,0.00013906587436099605,3.7703046222318814e-06,4.09187851892513e-298,0.06305385588889673,0.006794548550143243,0.8639059264101518,0.9294682863969945,535,117,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
verb_ZIPF,2.259656134294303e-05,1.5122056269482453e-06,8.678540588559158e-51,0.06305385588889673,0.006794548550143243,0.8639059264101518,0.9294682863969945,535,117,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,11,True,False,Multivariate
