Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.09963366167792906,0.00011683837074435943,0.0,0.0523468144842843,0.00696668155540324,0.8778188379030067,0.9369344392969897,469,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
subj_TYPE,0.0,0.0,1.0,0.0523468144842843,0.00696668155540324,0.8778188379030067,0.9369344392969897,469,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
subj_ANIM,0.00017616270208600134,4.277386541119269e-06,0.0,0.0523468144842843,0.00696668155540324,0.8778188379030067,0.9369344392969897,469,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
subj_GEN,2.206251161787808e-06,4.970350342468869e-07,4.522581929129066e-06,0.0523468144842843,0.00696668155540324,0.8778188379030067,0.9369344392969897,469,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
subj_NUM,2.28947670063741e-05,1.5378189482500988e-06,1.9773631462567945e-50,0.0523468144842843,0.00696668155540324,0.8778188379030067,0.9369344392969897,469,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
subj_PERS,0.0,0.0,1.0,0.0523468144842843,0.00696668155540324,0.8778188379030067,0.9369344392969897,469,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.0523468144842843,0.00696668155540324,0.8778188379030067,0.9369344392969897,469,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
sentence_TENSE,1.589963750243917e-06,4.10408407458926e-07,5.3509443701397535e-05,0.0523468144842843,0.00696668155540324,0.8778188379030067,0.9369344392969897,469,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
verb_ZIPF,0.0,0.0,1.0,0.0523468144842843,0.00696668155540324,0.8778188379030067,0.9369344392969897,469,3,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
