Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.08336034067234263,9.832382771892778e-05,0.0,0.05065227733437181,0.005942225689902714,0.8770851902102043,0.93653851662101,61,17,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
subj_TYPE,0.0011373597102165237,1.0188704305701442e-05,0.0,0.05065227733437181,0.005942225689902714,0.8770851902102043,0.93653851662101,61,17,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
subj_ANIM,0.00010144083074369938,3.1474118135682495e-06,3.3626779978154865e-228,0.05065227733437181,0.005942225689902714,0.8770851902102043,0.93653851662101,61,17,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
subj_GEN,0.0,0.0,1.0,0.05065227733437181,0.005942225689902714,0.8770851902102043,0.93653851662101,61,17,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
subj_NUM,0.0,0.0,1.0,0.05065227733437181,0.005942225689902714,0.8770851902102043,0.93653851662101,61,17,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
subj_PERS,3.4385148848811644e-07,1.4992552390762154e-07,0.010910135617781086,0.05065227733437181,0.005942225689902714,0.8770851902102043,0.93653851662101,61,17,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
subj_ZIPF,2.926157468397047e-07,1.593402971932848e-07,0.03314776418773875,0.05065227733437181,0.005942225689902714,0.8770851902102043,0.93653851662101,61,17,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
sentence_TENSE,4.220472204185346e-06,6.075722951866581e-07,1.8729273419626885e-12,0.05065227733437181,0.005942225689902714,0.8770851902102043,0.93653851662101,61,17,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
verb_ZIPF,1.811792293931792e-06,3.919372984410429e-07,1.894265442403831e-06,0.05065227733437181,0.005942225689902714,0.8770851902102043,0.93653851662101,61,17,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,3,True,False,Multivariate
