Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.01608278222617025,4.1307789455225065e-05,0.0,0.05619704399920895,0.006272787245863456,0.6230054749249482,0.7893370056287707,510,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
subj_TYPE,0.004375939264952664,2.0662505189508028e-05,0.0,0.05619704399920895,0.006272787245863456,0.6230054749249482,0.7893370056287707,510,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
subj_ANIM,0.0005254017527850046,8.330107536092723e-06,0.0,0.05619704399920895,0.006272787245863456,0.6230054749249482,0.7893370056287707,510,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
subj_GEN,4.420221485610681e-05,1.8587381592240022e-06,2.641045838875178e-125,0.05619704399920895,0.006272787245863456,0.6230054749249482,0.7893370056287707,510,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
subj_NUM,6.971687567677276e-05,2.5295998794522406e-06,1.6590766944999588e-167,0.05619704399920895,0.006272787245863456,0.6230054749249482,0.7893370056287707,510,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
subj_PERS,0.0,0.0,1.0,0.05619704399920895,0.006272787245863456,0.6230054749249482,0.7893370056287707,510,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
subj_ZIPF,4.669767594438987e-08,7.678540024707573e-08,0.27154125523563066,0.05619704399920895,0.006272787245863456,0.6230054749249482,0.7893370056287707,510,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
sentence_TENSE,1.298817571305212e-05,1.13557965332383e-06,1.3582246307983812e-30,0.05619704399920895,0.006272787245863456,0.6230054749249482,0.7893370056287707,510,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
verb_ZIPF,3.135920479293966e-07,2.2451724353146636e-07,0.0812459972166732,0.05619704399920895,0.006272787245863456,0.6230054749249482,0.7893370056287707,510,6,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
