Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.027096691813543353,5.5738866933759597e-05,0.0,0.05928665875668407,0.006708639616301781,0.7175283938433787,0.847098176728101,614,45,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
subj_TYPE,0.006062716687219013,2.515856600402424e-05,0.0,0.05928665875668407,0.006708639616301781,0.7175283938433787,0.847098176728101,614,45,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
subj_ANIM,0.000486407975574245,7.63368617933008e-06,0.0,0.05928665875668407,0.006708639616301781,0.7175283938433787,0.847098176728101,614,45,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
subj_GEN,3.3137290278850366e-05,1.695408775429643e-06,2.2611750295192487e-85,0.05928665875668407,0.006708639616301781,0.7175283938433787,0.847098176728101,614,45,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
subj_NUM,2.9400792073618486e-05,1.667875968019709e-06,7.551275948261012e-70,0.05928665875668407,0.006708639616301781,0.7175283938433787,0.847098176728101,614,45,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
subj_PERS,3.583652718940576e-05,1.8411044671988146e-06,1.0940781709502142e-84,0.05928665875668407,0.006708639616301781,0.7175283938433787,0.847098176728101,614,45,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
subj_ZIPF,4.2203148535041074e-05,1.7535480563471707e-06,2.7515692043776743e-128,0.05928665875668407,0.006708639616301781,0.7175283938433787,0.847098176728101,614,45,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
sentence_TENSE,0.00013859264914213543,3.751923029086867e-06,5.449666119569425e-299,0.05928665875668407,0.006708639616301781,0.7175283938433787,0.847098176728101,614,45,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
verb_ZIPF,2.6361326034953847e-05,1.6482508427003448e-06,7.089865513233518e-58,0.05928665875668407,0.006708639616301781,0.7175283938433787,0.847098176728101,614,45,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,5,True,False,Multivariate
