Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.01798138356285062,4.464629386083888e-05,0.0,0.06337624079150803,0.006823614424686297,0.6060604751538897,0.7785125150613079,559,187,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
subj_TYPE,0.00033497854800700587,5.925785100357148e-06,0.0,0.06337624079150803,0.006823614424686297,0.6060604751538897,0.7785125150613079,559,187,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
subj_ANIM,9.376438849832899e-08,1.2604767851067144e-07,0.2284744386123143,0.06337624079150803,0.006823614424686297,0.6060604751538897,0.7785125150613079,559,187,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
subj_GEN,5.403313642337861e-06,6.809127701252049e-07,1.0491092385839857e-15,0.06337624079150803,0.006823614424686297,0.6060604751538897,0.7785125150613079,559,187,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
subj_NUM,3.5414682136618712e-06,5.980349228235604e-07,1.591778866128548e-09,0.06337624079150803,0.006823614424686297,0.6060604751538897,0.7785125150613079,559,187,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
subj_PERS,0.002814505962296649,2.6829508219314756e-05,0.0,0.06337624079150803,0.006823614424686297,0.6060604751538897,0.7785125150613079,559,187,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.06337624079150803,0.006823614424686297,0.6060604751538897,0.7785125150613079,559,187,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
sentence_TENSE,0.00016787554485665098,4.137744996787432e-06,0.0,0.06337624079150803,0.006823614424686297,0.6060604751538897,0.7785125150613079,559,187,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
verb_ZIPF,6.352990728428089e-05,2.5526091298925024e-06,4.989694557439473e-137,0.06337624079150803,0.006823614424686297,0.6060604751538897,0.7785125150613079,559,187,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
