Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,unit,top_units,top_units_rank,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_GROUP,0.008430893739786246,3.507750859945083e-05,0.0,0.0771512875893094,0.00947519343481331,0.3922196948614626,0.6262973613722711,2,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
subj_TYPE,0.000609337677115854,9.362675165289038e-06,0.0,0.0771512875893094,0.00947519343481331,0.3922196948614626,0.6262973613722711,2,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
subj_ANIM,0.0,0.0,1.0,0.0771512875893094,0.00947519343481331,0.3922196948614626,0.6262973613722711,2,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
subj_GEN,2.6441067849192315e-05,1.8557817174603628e-06,2.3084806750910583e-46,0.0771512875893094,0.00947519343481331,0.3922196948614626,0.6262973613722711,2,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
subj_NUM,1.3679692367004101e-05,1.3817482056531885e-06,2.0755824062627895e-23,0.0771512875893094,0.00947519343481331,0.3922196948614626,0.6262973613722711,2,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
subj_PERS,0.0023378187584048426,2.571628894221879e-05,0.0,0.0771512875893094,0.00947519343481331,0.3922196948614626,0.6262973613722711,2,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
subj_ZIPF,0.0,0.0,1.0,0.0771512875893094,0.00947519343481331,0.3922196948614626,0.6262973613722711,2,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
sentence_TENSE,0.0006251733376207836,9.399254169440016e-06,0.0,0.0771512875893094,0.00947519343481331,0.3922196948614626,0.6262973613722711,2,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
verb_ZIPF,0.00015748740876609255,4.68855933866386e-06,1.1849899000794126e-247,0.0771512875893094,0.00947519343481331,0.3922196948614626,0.6262973613722711,2,479,R2,short_sentence,bert-base-uncased,0,,True,False,first-token,euclidean,12,True,False,Multivariate
